# Analysing data contained in file(s) ['subsampling/free/run001/vanish/output/lambda-0.000/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.100/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.200/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.300/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.400/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.500/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.600/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.700/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.800/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.900/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-0.950/simfile.dat', 'subsampling/free/run001/vanish/output/lambda-1.000/simfile.dat']
#DG from neighbouring lambda in kcal/mol
0.0000 0.1000 -34.1451 3.1622
0.1000 0.2000 -0.8882 0.7230
0.2000 0.3000 2.7882 0.3119
0.3000 0.4000 -0.1888 0.3275
0.4000 0.5000 -7.5013 4.8209
0.5000 0.6000 -5.1249 0.3310
0.6000 0.7000 -1.0509 0.0456
0.7000 0.8000 2.0438 0.0100
0.8000 0.9000 3.0239 0.0022
0.9000 0.9500 1.3303 0.0006
0.9500 1.0000 1.7314 0.0009
#PMF from MBAR in kcal/mol
0.0000 0.0000 0.0000
0.1000 -34.1451 3.1622
0.2000 -35.0333 3.0938
0.3000 -32.2451 3.0838
0.4000 -32.4339 3.0759
0.5000 -39.9352 1.7668
0.6000 -45.0601 1.7640
0.7000 -46.1110 1.7640
0.8000 -44.0672 1.7641
0.9000 -41.0433 1.7641
0.9500 -39.7130 1.7641
1.0000 -37.9816 1.7641
#TI average gradients and standard deviation in kcal/mol
0.0000 -659.3483 68.9793
0.1000 -100.0086 63.2558
0.2000 20.4576 50.2315
0.3000 16.8532 41.0474
0.4000 -12.2046 35.4085
0.5000 -80.3891 54.6718
0.6000 -30.0387 30.5758
0.7000 6.2755 18.7008
0.8000 29.2801 4.8042
0.9000 27.9115 1.6251
0.9500 25.4918 1.4270
1.0000 192.4162 12.1902
#PMF from TI in kcal/mol
0.0000 0.0000
0.1000 -37.9678
0.2000 -41.9454
0.3000 -40.0799
0.4000 -39.8474
0.5000 -44.4771
0.6000 -49.9985
0.7000 -51.1867
0.8000 -49.4089
0.9000 -46.5493
0.9500 -45.2142
1.0000 -39.7665
#MBAR free energy difference in kcal/mol: 
-37.981578, 1.764082 
#TI free energy difference in kcal/mol: 
-39.766529  
